    time [s]    temp [*C]    temp [*F]
    1989.896        20.75        69.35
    1991.815        20.75        69.35
    1993.735        20.75        69.35
    1995.656        20.75        69.35
    1997.576        20.75        69.35
    1999.496        20.75        69.35
    2001.415        20.75        69.35
    2003.336        20.75        69.35
    2005.256        20.81        69.46
    2007.176        85.00       185.00
    2009.096        85.00       185.00
    2012.776        85.00       185.00
    2014.696        20.75        69.35
    2016.616        85.00       185.00
    2018.536        85.00       185.00
    2020.455        20.81        69.46
    2022.376        20.88        69.58
    2024.295        20.75        69.35
    2026.216        85.00       185.00
    2028.136        20.88        69.58
    2030.056        20.88        69.58
    2031.976        20.88        69.58
    2033.895        20.88        69.58
    2035.815        20.88        69.58
    2037.736        20.88        69.58
    2039.656        20.94        69.69
    2041.575        20.94        69.69
    2043.496        85.00       185.00
    2046.296        20.94        69.69
    2049.976        20.94        69.69
    2051.896        20.94        69.69
    2053.815        20.94        69.69
    2055.736        85.00       185.00
    2057.656        20.94        69.69
    2059.576        20.94        69.69
    2061.496        85.00       185.00
    2063.415        85.00       185.00
    2065.336        20.94        69.69
    2067.255        85.00       185.00
    2069.175        20.94        69.69
    2071.095        20.94        69.69
    2073.016        20.94        69.69
    2074.936        85.00       185.00
    2077.335        85.00       185.00
    2079.336        20.94        69.69
    2081.256        85.00       185.00
    2083.176        20.94        69.69
    2085.096        85.00       185.00
    2087.016        85.00       185.00
    2088.936        20.88        69.58
    2090.855        85.00       185.00
    2093.656        20.88        69.58
    2095.576        85.00       185.00
    2097.496        85.00       185.00
    2099.415        85.00       185.00
    2101.335        85.00       185.00
    2103.256        20.81        69.46
    2105.175        20.81        69.46
    2108.216        85.00       185.00
    2110.136        85.00       185.00
    2112.056        85.00       185.00
    2114.056        20.81        69.46
    2116.856        20.81        69.46
    2118.776        85.00       185.00
    2121.656        85.00       185.00
    2123.576        85.00       185.00
    2125.496        85.00       185.00
    2127.415        85.00       185.00
    2129.335        85.00       185.00
    2131.256        85.00       185.00
    2133.176        85.00       185.00
    2135.096        85.00       185.00
    2137.015        85.00       185.00
    2138.935        20.75        69.35
    2140.856        85.00       185.00
    2142.775        20.75        69.35
    2144.696        85.00       185.00
    2147.496        85.00       185.00
    2150.296        85.00       185.00
    2152.376        85.00       185.00
    2154.295        85.00       185.00
    2157.096        85.00       185.00
    2161.896        20.56        69.01
    2165.716        85.00       185.00
    2169.496        85.00       185.00
    2171.415        85.00       185.00
    2173.336        20.38        68.67
    2175.256        85.00       185.00
    2177.176        85.00       185.00
    2179.095        85.00       185.00
    2181.016        20.62        69.12
    2182.936        20.38        68.67
    2184.856        85.00       185.00
    2186.776        85.00       185.00
    2188.696        20.50        68.90
    2190.616        85.00       185.00
    2192.536        20.12        68.22
    2194.455        85.00       185.00
    2196.416        85.00       185.00
    2198.295        85.00       185.00
    2200.216        85.00       185.00
    2202.136        85.00       185.00
    2204.056        85.00       185.00
    2209.176        85.00       185.00
    2211.096        85.00       185.00
    2213.016        85.00       185.00
    2214.936        85.00       185.00
    2216.896        85.00       185.00
    2219.256        85.00       185.00
    2222.056        85.00       185.00
    2223.976        85.00       185.00
    2228.696        85.00       185.00
    2235.416        85.00       185.00
    2241.656        85.00       185.00
    2244.536        85.00       185.00
    2257.416        85.00       185.00
    2269.096        85.00       185.00
    2273.096        85.00       185.00
    2278.936        85.00       185.00
    2284.536        85.00       185.00
    2306.776        85.00       185.00
    2308.696        85.00       185.00
    2311.176        85.00       185.00
